,domain,signaltype,encryptedrequesturl,encryptedhref,encryptedpagetitle,encryptedcontent,signalscount,_c0,domain_exp,know_domain,certainty
1010,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"3 posts, thursday, 9 march at 12pm
12:00 pm
create
post
pin
gouvcansante
12:00pm · disponible dès ma",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1011,rocketreach.co,VISIT,rocketreach.co/disney-france-management_b5e3f6caf42e6ed1,,disney france management team | org chart,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1012,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"nokianetworks
10:20pmas a network operator, you need to support 5g applications and industry and gov",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1013,cbre.com,CLICK,cbre.com/properties/properties-for-lease/commercial-space/details/US-SMPL-32424/the-exchange-at-westchester-2700-westchester-avenue-10577,,,accept all cookies,1,1,"cbre.com is a global commercial real estate services company offering a range of services including leasing, property sales, project management, and asset management. it provides services to owners, investors, and occupiers of all types of commercial property. it also offers research, consulting, and valuation services. cbre.com helps clients make informed decisions about their real estate investments.","q1: yes, 5",q2: 5
1014,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"direct message
pep stores sa
puseletso
@puseletsopvm
good evening pep, it is a month now and a coupl",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1015,surveymonkey.com,CLICK,surveymonkey.com/collect,surveymonkey.com/analyze/uOcgytXtTAP6x5c5dpSQPmm9jxIiHOWkssqCJzhvcWY_3D?tab_clicked=1,,analyze results,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1016,surveymonkey.com,CLICK,surveymonkey.com/summary/d3fQrYz_2FhvhEntT6Uy3HK_2FM0RyIjJzou6kha7SapBENshkmLsvdI5QaCbv3egaHB,surveymonkey.com/analyze/d3fQrYz_2FhvhEntT6Uy3HK2xu0ccIdaW9MqDSdOk9gIY_3D,,analyze results,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1017,net32.com,CLICK,net32.com/ec/genie-red-mixing-tips-redesigned-new-type-d-169055,net32.com/ec/defend-short-hp-crown-bridge-tmix-tips-d-150709,,"defend short hp crown & bridge t-mix tips 25/pk. 10:1 & 4:1 ratio. high performance, for temporary",1,147,"net32.com is an online marketplace for dental and medical supplies. it offers a wide range of products from over 500 brands, including dental instruments, disposables, infection control, and more. users can search for products, compare prices, and place orders. they can also access product reviews, product videos, and other helpful resources.","q1: yes, 4",q2: 4
1018,fortinet.com,CLICK,fortinet.com/support/product-downloads/linux,fortinet.com/solutions/enterprise-midsize-business/network-access,,zero trust access,1,27,"fortinet.com provides a range of cybersecurity products and services, including firewalls, secure wi-fi, endpoint security, network security, cloud security, and more. users can access product information, download software, and find support resources.","q1: yes, 5",q2: 5
1019,cpacanada.ca,CLICK,cpacanada.ca/search-results,,,"blog post
141",1,171,"cpa canada is a professional accounting organization that provides services such as certification, education, advocacy, and public interest. it offers resources for members, students, and the public, including online courses, webinars, and publications. it also provides support for members in areas such as taxation, assurance, and financial reporting.","q1: yes, 5",q2: 5
1020,pmi.org,CLICK,pmi.org,,,hongfei ding,1,148,"pmi.org is a project management resource hub offering a range of services, such as certification, training, publications, research, and networking. it provides access to tools, templates, and best practices to help project managers succeed. it also offers a library of resources, including articles, videos, and podcasts.","q1: yes, 4",q2: 4
1021,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"3 posts, tuesday, 7 march at 10pm
the black wall street times
10:00pm · the american history associa",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1022,siteone.com,CLICK,siteone.com/en/irrigation-sprinklers/c/sh1428,siteone.com/en/irrigation-sprinklers/c/sh1428?page=2&q=:relevance:soproductBrandNameFacet:Hunter&viewtype=All,,→,1,279,"siteone.com offers a wide range of services, including web hosting, domain registration, website design, and online marketing. users can create and manage their own websites, register domains, and access various marketing tools. siteone.com also provides customer support and tutorials to help users get the most out of their services.",q1: yes 4,q2: 4
1023,indochino.com,CLICK,indochino.com/product/hyde-deep-lilac-shirt,,,"trim: 
blue mini gingham",1,275,"indochino.com is an online custom menswear store offering suits, shirts, outerwear, and accessories. customers can design their own suits and shirts, and have them tailored to their exact measurements. the website also offers a range of ready-to-wear items, as well as a selection of accessories. customers can also book an appointment at one of their showrooms for a personalized shopping experience.","q1: yes, 5",q2: 5
1024,indochino.com,VISIT,indochino.com/press/may-18-2018,,may 18 2018 - october 23 2013 - july 16 2015 - february 12 2018 - december 8 2015 - may 15 2014 - march 15 2022 - july 16 2018 - may 31 2017 - march 8 2019 - february 21 2017 - august 13 2015 - march 29 2018 - june 7 2016 - february 1 2019 - august 6 2015 - january 2 2015 - april 24 2019 - may 21 2020 - december 16 2021 - press | indochino (aud),,1,275,"indochino.com is an online custom menswear store offering suits, shirts, outerwear, and accessories. customers can design their own suits and shirts, and have them tailored to their exact measurements. the website also offers a range of ready-to-wear items, as well as a selection of accessories. customers can also book an appointment at one of their showrooms for a personalized shopping experience.","q1: yes, 5",q2: 5
1025,surveymonkey.com,CLICK,surveymonkey.com/summary/JeFn6gdbrOwKTfqIZ4aABIewuW5v8CZOy6PWtv8B7AgxYaxlZ15bfqYsqgs4BRph,surveymonkey.com/collect/?sm=v8sqRD1Ld_2Bw_2FLmeUKgIEzNXI4zkh_2Flk_2BcmiFSMILSEYd2WVDLgXbOa4McJ50lWmG,,pecan,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1026,surveymonkey.com,CLICK,surveymonkey.com/summary/xT7lgAWty8plSFZLHeD7JkMnjTCoNspT61E36I69Kvy5oWm1H6Sa1XjwVTt9sNKj,surveymonkey.com/create/?sm=xT7lgAWty8plSFZLHeD7JlQQZKhr8218T3EcHN548_2Fs_3D,,design survey,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1027,net32.com,CLICK,net32.com/search,net32.com/ec/gradia-direct-x-xbw-extra-bleach-white-d-106146,,"gradia direct x xbw (extra bleach white) unitip refill, universal composite",1,147,"net32.com is an online marketplace for dental and medical supplies. it offers a wide range of products from over 500 brands, including dental instruments, disposables, infection control, and more. users can search for products, compare prices, and place orders. they can also access product reviews, product videos, and other helpful resources.","q1: yes, 4",q2: 4
1028,rocketreach.co,CLICK,rocketreach.co/tim-sukazi-inc-profile_b4577523fca5842b,rocketreach.co/tim-sukazi-inc-management_b4577523fca5842b,,management,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1029,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"the mental health services learning network - themhs
the mental health services learning network - t",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1030,surveymonkey.com,VISIT,surveymonkey.com/summary/SuJ51vW6iXQaOjgG3fIzNy4mJzqVQv9SSRjS24IRghLsCGek5PJYQhZ6c5_2FJGvkk,,welcome to surveymonkey!,,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1031,eaton.com,CLICK,eaton.com/us/en-us/site-search.html.searchTerm$PDG33M0350.tabs$all.html,www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/molded-case-circuit-breakers/mccb-catalog-v4-t2-ca08100005e.pdf,,molded case circuit breakers,1,33,"eaton.com provides a wide range of products and services, including power management solutions, electrical components, hydraulic components, and aerospace fuel, hydraulic, and pneumatic systems. users can find product information, order parts, and access technical support.","q1: yes, 4",q2: 4
1032,nuance.com,CLICK,nuance.com/about-us/trust-center/privacy/ntegrity-helpline.html,,,about us,1,165,"nuance.com provides ai-powered solutions to help people and businesses interact more naturally with the world. it offers products and services such as voice recognition, natural language understanding, text-to-speech, and conversational ai. users can access these services through the website, mobile apps, and apis. nuance.com also provides customer support and resources to help customers get the most out of their products.","q1: yes, 4",q2: 4
1033,rapidapi.com,VISIT,rapidapi.com/search/Instagram%20video%20downlaoder,,popular video downloader api documentation (webcracking) | rapidapi,,1,288,"rapidapi is a marketplace for developers to discover, connect, and manage apis. it offers a wide range of apis from different categories, such as weather, maps, payments, and more. users can search for apis, test them, and integrate them into their applications. rapidapi also provides tools to monitor api performance and usage.","q1: yes, 4",q2: 4
1034,surveymonkey.com,CLICK,surveymonkey.com/surveys,surveymonkey.com/summary/AI_2BipBIkBObLM1lb3z7G5HAkXuqgAInKUdsV_2FLZorIoKoQgd_2FGBsMFEF_2FKxK7qv3?ut_source=my_surveys_list,,affirming training session evaluation,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1035,net32.com,VISIT,net32.com/search,,0921458 | net32,,1,147,"net32.com is an online marketplace for dental and medical supplies. it offers a wide range of products from over 500 brands, including dental instruments, disposables, infection control, and more. users can search for products, compare prices, and place orders. they can also access product reviews, product videos, and other helpful resources.","q1: yes, 4",q2: 4
1036,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"private message
northern tool + equipment
danny river valleskey
hello danny, we will add your email ",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1037,eaton.com,CLICK,eaton.com/us/en-us/site-search.html.searchTerm$c0050e2a.tabs$all.uncached.html,www.eaton.com/us/en-us/skuPage.C0050E2A.html#Specifications,,specifications,1,33,"eaton.com provides a wide range of products and services, including power management solutions, electrical components, hydraulic components, and aerospace fuel, hydraulic, and pneumatic systems. users can find product information, order parts, and access technical support.","q1: yes, 4",q2: 4
1038,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"12:00pm
the ""the future of business & benefits"" countdown in detroit starts now! 🗓️ in 93 days, loca",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1039,surveymonkey.com,CLICK,surveymonkey.com/collect,,,copy of rm6 2023 link (omaha),1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1040,surveymonkey.com,CLICK,surveymonkey.com/summary/ow74SaAK0T0fuLbf3hy5geZEFt_2Bz6U1AnxLGmIruMyXNRgSEvMSKBJTCeHWFdATe,surveymonkey.com/analyze/ow74SaAK0T0fuLbf3hy5gS_2Fdg5CNt_2FjgyPfcm6UUfE0_3D,,analyze results,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1041,net32.com,VISIT,net32.com/shopping-cart-acknowledgement/114198/1988258,,filtek supreme ultra capsules a3 enamel 10/bx. universal restorative | net32,,1,147,"net32.com is an online marketplace for dental and medical supplies. it offers a wide range of products from over 500 brands, including dental instruments, disposables, infection control, and more. users can search for products, compare prices, and place orders. they can also access product reviews, product videos, and other helpful resources.","q1: yes, 4",q2: 4
1042,rocketreach.co,VISIT,rocketreach.co/kristen-vosmaer-email_5986547,,kristen vosmaer email address & phone number | glp head of idc operations contact information - rocketreach,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1043,cardinalhealth.com,CLICK,cardinalhealth.com/en/search.html,www.cardinalhealth.com/en/product-solutions/medical/laboratory-products/anatomic-pathology/tissue-processors.html,,tissue processors,1,312,"cardinal health is a global healthcare services and products company providing customized solutions for hospitals, health systems, pharmacies, ambulatory surgery centers, clinical laboratories and physician offices worldwide. it offers a range of products and services, including medical-surgical supplies and pharmaceuticals, medical equipment, laboratory supplies, and services such as inventory management and consulting. customers can also access online ordering, product information, and customer support.","q1: yes, 4",q2: 4
1044,surveymonkey.com,CLICK,surveymonkey.com/home,surveymonkey.com/collect/list?sm=ovYbLWVcBQ8AUE4qjvfphipnQbqF4z6zx7Tp5dRYJbs_3D,,send survey,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1045,eaton.com,CLICK,eaton.com/ca/en-gb/products/low-voltage-power-distribution-control-systems/panelboards.html,www.eaton.com/ca/en-gb/catalog/low-voltage-power-distribution-controls-systems/synergex-encapsulated-hazardous-area-lighting-and-heat-tracing-p.html,,go to synergex ezflex encapsulated hazardous area lighting and heat tracing panelboards,1,33,"eaton.com provides a wide range of products and services, including power management solutions, electrical components, hydraulic components, and aerospace fuel, hydraulic, and pneumatic systems. users can find product information, order parts, and access technical support.","q1: yes, 4",q2: 4
1046,rocketreach.co,VISIT,rocketreach.co/manar-wagih-email_78575979,,manar wagih email address & phone number | university health network clinical research assistant contact information - rocketreach,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1047,platform.ironsrc.com,CLICK,"platform.ironsrc.com/partners/monetize/reports/mediation/from/2023-2-16/to/2023-3-1/break/date,placement/graphBreak/date/adUnit/242/adSource/any/app/7d9bec75,7d9bb2ed/country/any/testGroup/any/platform/any",,,overview,1,103,"platform.ironsrc.com is a mobile monetization platform that helps app developers maximize their revenue. it offers a wide range of services, such as user acquisition, app store optimization, and analytics. users can access tools to track their app performance, optimize their campaigns, and analyze user behavior. it also provides a marketplace for app developers to buy and sell user traffic.","q1: yes, 4",q2: 4
1048,surveymonkey.com,VISIT,surveymonkey.com/summary/nfH6Lwy6_2FTRkkrXV8L2IPpJfyM3CPSU_2F8CnKTkUzT8FnXLItz9eUwyAmWxTOtBrL,,welcome to surveymonkey!,,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1049,optus.com.au,CLICK,optus.com.au/broadband-nbn/nbn/install-nbn,,,"u 6/27 ross street, huntingdale, vic 3166",1,43,"optus.com.au is a telecommunications provider offering mobile, broadband, home phone and entertainment services. customers can purchase plans, check usage, manage accounts and access support. they can also shop for phones, tablets and accessories.",q1: yes + 4,q2: 4
1050,surveymonkey.com,VISIT,surveymonkey.com/summary/zPN1Q_2Bc5LXvOmH1m3BVuoEQ4ht9GsVO0Y8mBjF_2FaN73UVRec9unrhARv6vuq6i6S,,welcome to surveymonkey!,,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1051,grow.stanford.edu,CLICK,grow.stanford.edu/browse,grow.stanford.edu/browse/stanford-lead-online-business-program/?ab=browse&adgroup=LED-TM+-+Stanford+Leadership+-+Executive&adgroupid=58700007491657195&adposition=&campaignid=71700000088561825&device=c&extensionid=&feeditemid=&gclsrc=aw.ds&kwid=43700067403994547&loc_interest_ms=&loc_physical_ms=9033510&matchtype=b&network=g&program_type=leadership&targetid=kwd-106700379633,,learn more,1,291,"grow.stanford.edu is a website that provides resources and services to help stanford students, faculty, and staff with their professional development. it offers career exploration, job search, resume and cover letter assistance, and career coaching. it also provides access to a variety of online tools and resources, such as career assessments, job postings, and career events. users can also access career advice and resources from stanford alumni.","q1: yes, 4",q2: 4
1052,rocketreach.co,VISIT,rocketreach.co/sherbrooke-liquor-management_b40c23ebffc29513,,sherbrooke liquor management team | org chart,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1053,rocketreach.co,VISIT,rocketreach.co/scout-media-email-format_b5c651b4f42e0cb3,,scout (media) email format | scout.com emails,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1054,rocketreach.co,CLICK,rocketreach.co/global-exim-group-profile_b406657dfc2c8f59,,,what is the annual revenue of global exim group?,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1055,powtoon.com,CLICK,powtoon.com/online-presentation/czqAJYBYZU0,,,01:54,1,166,"powtoon.com is an online platform that enables users to create animated videos and presentations. it offers a wide range of tools and templates to help users create professional-looking videos and presentations quickly and easily. users can also access a library of royalty-free music and sound effects to add to their projects. additionally, powtoon.com provides users with the ability to collaborate with others, share their projects, and access analytics to track their progress.","q1: yes, 5",q2: 5
1056,hootsuite.com,CLICK,hootsuite.com/dashboard,,,"direct message
pfaff® sewing north america
nadine
mentioned you in their story.",1,164,"hootsuite is a social media management platform that helps businesses and individuals manage their social media accounts. it offers a suite of tools to help users schedule posts, monitor conversations, and measure the performance of their social media campaigns. it also provides analytics and reporting features to help users track their progress and optimize their strategies.","q1: yes, 4",q2: 4
1057,rocketreach.co,VISIT,rocketreach.co/tina-lauder-email_97239174,,tina lauder email address & phone number | welldyne vice president human resources contact information - rocketreach,,1,38,"rocketreach.co is a platform that provides users with access to contact information of professionals and companies. it offers a comprehensive database of contact information, including emails, phone numbers, and social media profiles. users can search for contacts, view profiles, and connect with professionals. it also offers a suite of tools to help users build relationships, track their outreach, and measure their success.","q1: yes, 5",q2: 5
1058,surveymonkey.com,CLICK,surveymonkey.com/create,,,"edit
copy of outcome survey - streetwear series: draft and sew hoodie",1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1059,surveymonkey.com,CLICK,surveymonkey.com/dashboard,surveymonkey.com/analyze/mU0WCTmHo9a7c1QywgPYBarUH9u6qHR0G2G_2FJMUOfC1HvGuGJ95pNBoAdQUgJWA7,,"3
analyze responses",1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
1060,surveymonkey.com,CLICK,surveymonkey.com/dashboard,surveymonkey.com/summary/JaEapDdoe47lkEe0hPVFtoUBDNIMpfrcLKu3l35ugbTsiRP36r3lZnLUlntp1Gp1?ut_source=dashboard,,all together now-post test,1,177,"surveymonkey is an online survey platform that enables users to create, distribute, and analyze surveys. it offers a range of features such as survey design, data collection, data analysis, and survey distribution. users can create surveys with multiple question types, customize survey design, and share surveys with others. surveymonkey also provides data analysis tools to help users interpret survey results. additionally, users can access survey results in real-time and export data to other applications.","q1: yes, 4",q2: 4
